platform,title,url,published_by,developed_by,released,genre,perspective,visual,art,gameplay,interface,user_reviews,user_review_count,average_user_review,critic_reviews,critic_review_count,average_critic_review
platform,title,url,published_by,developed_by,released,genre,perspective,visual,art,gameplay,interface,user_reviews,user_review_count,average_user_review,critic_reviews,critic_review_count,average_critic_review
SNES,Bit.Trip Presents... Runner 2: Future Legend of Rhythm Alien,https://www.mobygames.com/game/59875/bittrip-presents-runner-2-future-legend-of-rhythm-alien/,"Gaijin Games Inc. Aksys Games Localization, Inc.",Gaijin Games Inc.,"February 26, 2013 on Windows",Action,Side view,2D scrolling,,Music / rhythmPlatform,,[],0,0,"[100, 100, 100, 100, 100, 97, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 86, 86, 86, 85, 85, 85, 85, 85, 85, 85, 85, 84, 82, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 75, 70, 70, 67, 65]",62,85.29032258064517
SNES,World of WarCraft,https://www.mobygames.com/game/15620/world-of-warcraft/,"Blizzard Entertainment Inc. The9 Limited Times Newspapers Limited Soft Club NetEase, Inc.",Blizzard Entertainment Inc.,"November 23, 2004 on Windows",Role-playing (RPG),1st-personBehind view,,,Massively Multiplayer,Direct controlPoint and select,"[1.7, 3.4, 4.3, 3.9, 3.4, 4.7, 2.4, 4.7, 5.0, 4.9]",10,3.84,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98, 96, 95, 95, 95, 95, 95, 95, 95, 94, 94, 93, 93, 93, 92, 92, 92, 92, 92, 91, 91, 91, 91, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 88, 86, 85, 85, 82, 81, 81, 80, 80, 80, 80, 79, 79, 70, 70]",72,91.36111111111111
SNES,Super Mario RPG: Legend of the Seven Stars,https://www.mobygames.com/game/6692/super-mario-rpg-legend-of-the-seven-stars/,"Nintendo of America Inc. Nintendo Co., Ltd.","Square Co., Ltd.","March 8, 1996 on SNES",ActionRole-playing (RPG),Diagonal-down,Isometric,Anime / Manga,Japanese-style RPG (JRPG),,"[4.6, 4.8, 5.0, 4.8, 4.4, 4.0, 4.6, 1.4]",8,4.2,"[100, 100, 100, 100, 100, 100, 99, 97, 95, 95, 95, 94, 91, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 88, 87, 87, 86, 86, 85, 83, 80, 80, 80, 80, 80, 80, 70]",44,89.77272727272727
SNES,The Legend of Zelda: Majora's Mask 3D,https://www.mobygames.com/game/74464/the-legend-of-zelda-majoras-mask-3d/,"Nintendo Co., Ltd.","Grezzo Co., Ltd.","February 13, 2015 on Nintendo 3DS",Action,Behind view,,Anime / Manga,MetroidvaniaPuzzle elements,,[],0,0,"[100, 100, 100, 95, 93, 90, 90, 90, 90, 90, 90, 90, 90, 88]",14,92.57142857142857
SNES,The Ultimate Doom,https://www.mobygames.com/game/707/the-ultimate-doom/,"id Software, Inc. GT Interactive Software Corp. Activision Publishing, Inc. Bethesda Softworks LLC ZeniMax Europe Ltd.","id Software, Inc.",1995 on DOS,Action,1st-person,,,Shooter,Direct control,"[4.8, 5.0, 5.0, 4.2]",4,4.75,"[100, 100, 100, 92, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 88, 85, 85, 85, 83, 81, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 75, 75, 75, 73, 70, 61, 60, 60, 50]",42,82.30952380952381
SNES,Super Metroid,https://www.mobygames.com/game/6627/super-metroid/,"Nintendo Co., Ltd.","Intelligent Systems Co., Ltd. Nintendo R&D1",1994 on SNES,Action,Side view,2D scrolling,,MetroidvaniaPlatformShooter,,"[4.5, 5.0, 4.0, 5.0, 3.8, 4.8, 4.4, 5.0]",8,4.5625,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99, 98, 97, 96, 96, 95, 95, 95, 95, 95, 95, 94, 94, 94, 93, 92, 92, 91, 91, 91, 90, 90, 90, 90, 90, 90, 89, 87, 86, 85, 84, 83, 80, 80, 80, 75, 68]",57,93.42105263157895
SNES,SNK vs. Capcom: The Match of the Millennium,https://www.mobygames.com/game/18302/snk-vs-capcom-the-match-of-the-millennium/,SNK Corporation SNK Corporation,SNK Corporation,1999 on Neo Geo Pocket Color,Action,Side view,2D scrolling,Anime / Manga,ArcadeFighting,,[],0,0,"[100, 100, 100, 100, 100, 100, 90, 90, 88, 80, 80, 80, 75, 70, 60, 50]",16,85.1875
SNES,Sly 3: Honor Among Thieves,https://www.mobygames.com/game/20207/sly-3-honor-among-thieves/,Sony Computer Entertainment Europe Ltd. Sony Computer Entertainment America Inc.,Sucker Punch Productions LLC,2005 on PlayStation 2,Action,1st-person3rd-person (Other)Behind viewTop-down,,,Beat 'em up / brawlerPlatformStealth,,[4.6],1,4.6,"[98, 95, 95, 95, 93, 92, 91, 90, 90, 90, 90, 90, 85, 85, 84, 84, 83, 82, 82, 81, 80, 80, 80, 80, 77, 75, 75, 72, 50]",29,84.27586206896552
SNES,Forza Horizon 2,https://www.mobygames.com/game/68893/forza-horizon-2/,Microsoft Corporation,Sumo Digital Ltd (Sheffield) Playground Games Ltd,"September 30, 2014 on Xbox 360",Racing / Driving,1st-personBehind view,,,,,[],0,0,"[100, 95, 93, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 86, 85, 85, 85, 85, 82, 80, 80, 80, 80, 75, 70, 35, 20]",27,82.07407407407408
SNES,Guitar Hero III: Legends of Rock,https://www.mobygames.com/game/30809/guitar-hero-iii-legends-of-rock/,"RedOctane, Inc. Activision Publishing, Inc. Aspyr Media, Inc.","Neversoft Entertainment, Inc.","October 28, 2007 on PlayStation 2",ActionSimulation,3rd-person (Other),Cinematic camera,,Music / rhythm,Direct control,"[4.2, 4.0, 2.8, 4.2, 4.4]",5,3.9200000000000004,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98, 97, 96, 95, 95, 95, 95, 95, 94, 93, 93, 93, 93, 92, 92, 92, 92, 92, 92, 91, 91, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 88, 88, 88, 88, 88, 88, 88, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 86, 86, 86, 86, 86, 86, 86, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 84, 84, 83, 83, 83, 83, 83, 83, 83, 83, 82, 82, 82, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 78, 78, 78, 76, 76, 76, 76, 75, 75, 75, 75, 75, 75, 75, 75, 75, 72, 72, 71, 70, 70, 70, 67, 65, 60, 60, 58, 50, 42, 40]",261,85.41379310344827
